nama,kode,latitude,longitude,,,asal,tujuan,jarak (km),
Dr. Abdul ,D1,-7.33416651,112.81106319,,,T1,T2,0.51,
Dr. Fitri Yuda Mayasari,D2,-7.34177390,112.80172376,,,T1,T3,0.54,
Dr. Ani Budiwati,D3,-7.33597052,112.80002715,,,T2,T4,0.35,
Dr. Eko Iswahyudi,D4,-7.33652257,112.79632167,,,T3,T4,0.36,
Dr. Jimmy S.,D5,-7.33331395,112.79686486,,,T4,D1,0.28,
Dr. Luksadi,D6,-7.33149401,112.77200001,,,T5,D1,0.91,
Dr. Brana Pradata,D7,-7.33603313,112.76843121,,,T4,T6,0.66,
Mushola & TPQ Jl. Wisma Tirta Agung Asri,T1,-7.33716645,112.81448358,,,T5,T6,1.04,
Perumahan Wisma Indah,T2,-7.33607377,112.81059970,,,T6,T7,0.42,
Musholla AlFattah Puri Gununganyar Regency,T3,-7.33533380,112.81152717,,,T6,T8,0.53,
Taman Gunung Anyar,T4,-7.33464206,112.80900963,,,T8,D3,0.44,
Rusunawa Gunung Anyar,T5,-7.33095389,112.81475987,,,T9,D3,0.59,
Musholla Hubbul Wathon,T6,-7.33199479,112.80540012,,,T10,D3,0.27,
"Masjid Al Muttaqin, Gunung Anyar Emas",T7,-7.33440798,112.80317085,,,T9,T11,0.26,
Bengkel cat mobil Grand Star,T8,-7.33271733,112.80077577,,,T11,D2,0.15,
DAMKAR GUNUNG ANYAR,T9,-7.33805311,112.80194598,,,T12,D2,0.54,
Masjid Nur Madrikah,T10,-7.33838505,112.80006815,,,T12,T13,0.18,
Panti Asuhan Ulul Azmi,T11,-7.34039890,112.80190324,,,T13,T14,0.56,
SD Budi Mulia Islamic Shool,T12,-7.34269705,112.80575107,,,T14,D2,0.77,
Gunung Anyar Town House,T13,-7.34425333,112.80543159,,,T14,T15,0.64,
Masjid Roudlotul Mukminin,T14,-7.34414147,112.80155038,,,T15,T16,0.14,
Gunung Anyar Asri,T15,-7.34375594,112.80123834,,,T16,T17,0.64,
PERUM BUMI PRATAMA ASRI,T16,-7.34337962,112.80019323,,,T17,T18,0.56,
Politeknik Pelayaran Surabaya,T17,-7.34302591,112.79479166,,,T18,T11,0.7,
Perumahan Gunung Anyar Permai,T18,-7.33860742,112.79596451,,,T14,T27,2.27,
Masjid al Mubarok,T19,-7.33669157,112.79508927,,,T18,T19,0.36,
PT. Berhasil Sinar Gemilang Abadi,T20,-7.33390413,112.79720483,,,T19,D4,0.14,
Apotek Doa Sehat,T21,-7.33470896,112.79576748,,,D3,D4,0.54,
SPBU Pertamina - Gunung Anyar,T22,-7.33344254,112.79394668,,,T8,D5,0.43,
Fotocopy Alfin,T23,-7.33294780,112.79221827,,,T20,D5,0.13,
"UPN ""Veteran"" Jawa Timur",T24,-7.33225209,112.78849596,,,T19,T21,0.26,
Mr. Suprek Rungkut,T25,-7.33157163,112.78298514,,,T21,T22,0.35,
Masjid Assalam Purimas,T26,-7.33903455,112.78466655,,,T22,D5,0.32,
UINSA Kampus 2,T27,-7.34422439,112.78665880,,,T22,T23,0.24,
McDonald's - Rungkut Madya,T28,-7.33132323,112.77560415,,,T23,T24,0.47,
SPBU Pertamina 54.601.99 Rungkut Mapan,T29,-7.33477780,112.77505521,,,T24,T25,0.61,
SDN Rungkut Mananggal I,T30,-7.33605799,112.77330609,,,T24,T26,1.08,
Masjid Al-Muslimun,T31,-7.33668695,112.77288917,,,T25,T26,1.15,
Kantor Kelurahan Rungkut Tengah,T32,-7.33312868,112.77110175,,,T25,T28,0.81,
Masjid At-Taibin,T33,-7.33302809,112.76853020,,,T26,T27,0.83,
Kantor Kelurahan Rungkut Mananggal,T34,-7.33746547,112.76860250,,,T26,T28,1.56,
Pondok Pesantren Manbaul Falah,T35,-7.33895626,112.76793831,,,T28,T29,0.42,
Taman Rungkut Mananggal,T36,-7.33850203,112.76706837,,,T29,T30,0.43,
Masjid Baiturrozaq SIER Surabaya,T37,-7.33222082,112.75701217,,,T30,T31,0.2,
,,,,,,T28,D6,0.42,
,,,,,,T32,D6,0.26,
,,,,,,T33,D6,0.53,
,,,,,,T33,D7,0.33,
,,,,,,T34,D7,0.17,
,,,,,,T34,T35,0.22,
,,,,,,T35,T36,0.1,
,,,,,,T37,D6,1.88,
,,,,,,T3,D1,0.15,
